"","Plot.Code","m.rates.annual","region","Latitude.Decimal","Longitude.Decimal","plot.area","mycol"
"1","AGJ-01",2.28749446160366,"3AMA_W",-11.89,-71.363333,2,"#E18000CC"
"2","AGP-01",2.34983399268657,"3AMA_W",-3.72,-70.305031,1,"#E18000CC"
"3","AGP-02",3.29953514090291,"3AMA_W",-3.72,-70.304972,1,"#E18000CC"
"4","ALF-01",1.34752061304831,"4AMA_BrSh",-9.6,-55.9369,1,"#004C99CC"
"5","ALF-02",2.85238603830307,"4AMA_BrSh",-9.58,-55.9176,1,"#004C99CC"
"6","ALM-01",1.87295565623826,"3AMA_W",-11.8,-71.466667,2,"#E18000CC"
"7","ALP-01",2.16527438143028,"3AMA_W",-3.95,-73.43460425,0.88,"#E18000CC"
"8","ALP-30",1.88639292409648,"3AMA_W",-3.95,-73.42677775,1,"#E18000CC"
"9","ALP-40",1.61047599217232,"3AMA_W",-3.94,-73.44001375,1,"#E18000CC"
"10","ALV-01",1.24601684894502,"4AMA_BrSh",-16.12,-61.894306,1,"#004C99CC"
"11","ALV-02",1.82964969507412,"4AMA_BrSh",-16.08,-61.885556,1,"#004C99CC"
"12","AMA-02",1.33766159432964,"3AMA_W",5.58,-77.501031,1,"#E18000CC"
"13","BAR-01",1.75124627249035,"3AMA_W",-11.9,-71.4249016,1,"#E18000CC"
"14","BDF-01",1.12292732493879,"2AMA_EC",-2.34,-60.096764,2,"#F00000CC"
"15","BDF-03",1.34959367613808,"2AMA_EC",-2.42,-59.854939,1,"#F00000CC"
"16","BDF-04",2.88142541836636,"2AMA_EC",-2.43,-59.852923,1,"#F00000CC"
"17","BDF-05",1.50168249616961,"2AMA_EC",-2.43,-59.850818,1,"#F00000CC"
"18","BDF-06",1.57710624004898,"2AMA_EC",-2.41,-59.856782,3,"#F00000CC"
"19","BDF-07",1.16473117475179,"2AMA_EC",-2.4,-59.9,1,"#F00000CC"
"20","BDF-08",1.53001225167975,"2AMA_EC",-2.4,-59.9,1,"#F00000CC"
"21","BDF-09",1.24030675303954,"2AMA_EC",-2.4,-59.846394,1,"#F00000CC"
"22","BDF-10",1.56047068748383,"2AMA_EC",-2.39,-59.855147,2,"#F00000CC"
"23","BDF-11",0.859383479834081,"2AMA_EC",-2.38,-59.849931,3,"#F00000CC"
"24","BDF-12",0.976129408653112,"2AMA_EC",-2.39,-59.852956,2,"#F00000CC"
"25","BDF-13",1.04919521370256,"2AMA_EC",-2.4,-59.913719,9,"#F00000CC"
"26","BDF-14",0.953898129519823,"2AMA_EC",-2.36,-59.974284,1,"#F00000CC"
"27","BEE-01",1.97592147275418,"3AMA_W",-16.53,-64.5833333333333,1,"#E18000CC"
"28","BEE-05",1.74873048523328,"3AMA_W",-16.53,-64.5833333333333,1,"#E18000CC"
"29","BES-01",2.0672643756798,"3AMA_W",10.53,-73.294708,1,"#E18000CC"
"30","BNT-01",0.999943892048615,"2AMA_EC",-2.64,-60.157622,1,"#F00000CC"
"31","BNT-04",1.16900512242986,"2AMA_EC",-2.63,-60.154181,1,"#F00000CC"
"32","BNT-05",1.53252595719135,"2AMA_EC",-2.63,-60.166667,1,"#F00000CC"
"33","BNT-06",1.39360019408253,"2AMA_EC",-2.63,-60.166667,1,"#F00000CC"
"34","BNT-07",0.994945111034113,"2AMA_EC",-2.63,-60.166667,1,"#F00000CC"
"35","BOG-01",2.30950565116456,"3AMA_W",-0.7,-76.47917,1,"#E18000CC"
"36","BOG-02",2.67241272287705,"3AMA_W",-0.7,-76.47139,1,"#E18000CC"
"37","CAR-01",1.82251513353197,"4AMA_BrSh",-5.58,-49.71666667,1,"#004C99CC"
"38","CAX-01",0.80345454883575,"2AMA_EC",-1.74,-51.462892,1,"#F00000CC"
"39","CAX-02",1.3654619951907,"2AMA_EC",-1.74,-51.461458,1,"#F00000CC"
"40","CAX-06",1.34682481278274,"2AMA_EC",-1.72,-51.4581805555556,1,"#F00000CC"
"41","CAX-08",2.02006651672694,"2AMA_EC",-1.85,-51.4746787,1,"#F00000CC"
"42","CHO-01",3.23901299421167,"4AMA_BrSh",-14.39,-61.1477778,1,"#004C99CC"
"43","CLA-34",1.66052489459668,"3AMA_W",10.01,-65.319125,0.511,"#E18000CC"
"44","CPP-01",1.7049638800217,"4AMA_BrSh",-1.84,-47.104444,1,"#004C99CC"
"45","CRP-02",3.14495179765514,"4AMA_BrSh",-14.54,-61.49817778,1,"#004C99CC"
"46","CUZ-02",1.98037409566893,"3AMA_W",-12.54,-69.0578265,1,"#E18000CC"
"47","CUZ-03",2.07019113942066,"3AMA_W",-12.53,-69.053958,1,"#E18000CC"
"48","CUZ-04",2.86780509968745,"3AMA_W",-12.54,-69.0515,1,"#E18000CC"
"49","DOI-01",1.97287597647653,"3AMA_W",-10.57,-68.31620175,1,"#E18000CC"
"50","DOI-02",5.08951381245234,"3AMA_W",-10.55,-68.30660325,1,"#E18000CC"
"51","ECE-01",1.66982911906674,"3AMA_W",10.68,-75.269286,1,"#E18000CC"
"52","ELD-12",1.01596625224882,"1AMA_GuSh",6.11,-61.411579,0.5,"#006600CC"
"53","ELD-34",1.67815882256001,"1AMA_GuSh",6.09,-61.3752585,0.5,"#006600CC"
"54","FEC-01",2.58277316430018,"3AMA_W",-10.07,-67.61666667,1,"#E18000CC"
"55","FLO-01",2.76714315235193,"4AMA_BrSh",-12.81,-51.8537,1,"#004C99CC"
"56","FLO-02",1.32431998551728,"4AMA_BrSh",-12.75,-51.877778,1,"#004C99CC"
"57","FMH-01",0.805205310657248,"1AMA_GuSh",5.17,-58.6931546219,1,"#006600CC"
"58","FMH-02",0.570919607220749,"1AMA_GuSh",5.17,-58.6939250026,1,"#006600CC"
"59","FMH-03",1.03835902914355,"1AMA_GuSh",5.18,-58.7035250477,1,"#006600CC"
"60","GMT-01",1.56595077624962,"2AMA_EC",-1.11,-47.795278,1,"#F00000CC"
"61","HCC-21",2.92724794068177,"4AMA_BrSh",-14.53,-60.7360863592,1,"#004C99CC"
"62","HCC-22",2.50379166570485,"4AMA_BrSh",-14.53,-60.7340423483,1,"#004C99CC"
"63","HCC-24",3.31201082090997,"4AMA_BrSh",-14.57,-60.74523487,1,"#004C99CC"
"64","IND-01",4.96933394921406,"3AMA_W",-3.52,-72.85,1,"#E18000CC"
"65","INF-01",2.05441782508158,"3AMA_W",-12.73,-69.7,1.3,"#E18000CC"
"66","IWO-21",1.15354064968146,"1AMA_GuSh",4.63,-58.738854602,1,"#006600CC"
